"","Var1","Var2","Freq","Var1.1","Var2.1","Freq.1","Var1.2","Var2.2","Freq.2"
"1","1-Methylnaphthalene sediment  (ug/Kg)","FALSE",31,"1-Methylnaphthalene sediment  (ug/Kg)","FALSE",31,"1-Methylnaphthalene sediment  (ug/Kg)","FALSE",31
"2","1-Methylnaphthalene water  (ug/L)","FALSE",279,"1-Methylnaphthalene water  (ug/L)","FALSE",279,"1-Methylnaphthalene water  (ug/L)","FALSE",279
"3","2-Methylnaphthalene sediment  (ug/Kg)","FALSE",41,"2-Methylnaphthalene sediment  (ug/Kg)","FALSE",41,"2-Methylnaphthalene sediment  (ug/Kg)","FALSE",41
"4","2-Methylnaphthalene water  (ug/L)","FALSE",525,"2-Methylnaphthalene water  (ug/L)","FALSE",525,"2-Methylnaphthalene water  (ug/L)","FALSE",525
"5","2-Nitrophenol sediment  (ug/Kg)","FALSE",23,"2-Nitrophenol sediment  (ug/Kg)","FALSE",23,"2-Nitrophenol sediment  (ug/Kg)","FALSE",23
"6","2,4-D sediment  (ug/Kg)","FALSE",11,"2,4-D sediment  (ug/Kg)","FALSE",11,"2,4-D sediment  (ug/Kg)","FALSE",11
"7","2,4-D water  (ug/L)","FALSE",502,"2,4-D water  (ug/L)","FALSE",502,"2,4-D water  (ug/L)","FALSE",502
"8","2,4-Dichlorophenol sediment  (ug/Kg)","FALSE",24,"2,4-Dichlorophenol sediment  (ug/Kg)","FALSE",24,"2,4-Dichlorophenol sediment  (ug/Kg)","FALSE",24
"9","2,4-Dimethylphenol sediment  (ug/Kg)","FALSE",39,"2,4-Dimethylphenol sediment  (ug/Kg)","FALSE",39,"2,4-Dimethylphenol sediment  (ug/Kg)","FALSE",39
"10","2,4,5-Trichlorophenol sediment  (ug/Kg)","FALSE",24,"2,4,5-Trichlorophenol sediment  (ug/Kg)","FALSE",24,"2,4,5-Trichlorophenol sediment  (ug/Kg)","FALSE",24
"11","2,4,6-Trichlorophenol sediment  (ug/Kg)","FALSE",23,"2,4,6-Trichlorophenol sediment  (ug/Kg)","FALSE",23,"2,4,6-Trichlorophenol sediment  (ug/Kg)","FALSE",23
"12","4-Chloro-3-Methylphenol sediment  (ug/Kg)","FALSE",20,"4-Chloro-3-Methylphenol sediment  (ug/Kg)","FALSE",20,"4-Chloro-3-Methylphenol sediment  (ug/Kg)","FALSE",20
"13","4-Nitrophenol sediment  (ug/Kg)","FALSE",20,"4-Nitrophenol sediment  (ug/Kg)","FALSE",20,"4-Nitrophenol sediment  (ug/Kg)","FALSE",20
"14","Acenaphthene sediment  (ug/Kg)","FALSE",36,"Acenaphthene sediment  (ug/Kg)","FALSE",36,"Acenaphthene sediment  (ug/Kg)","FALSE",36
"15","Acenaphthene water  (ug/L)","FALSE",572,"Acenaphthene water  (ug/L)","FALSE",572,"Acenaphthene water  (ug/L)","FALSE",572
"16","Acenaphthylene sediment  (ug/Kg)","FALSE",53,"Acenaphthylene sediment  (ug/Kg)","FALSE",53,"Acenaphthylene sediment  (ug/Kg)","FALSE",53
"17","Acenaphthylene water  (ug/L)","FALSE",593,"Acenaphthylene water  (ug/L)","FALSE",593,"Acenaphthylene water  (ug/L)","FALSE",634
"18","Ammonia water  (ug/L)","FALSE",71,"Ammonia water  (ug/L)","FALSE",0,"Ammonia water  (ug/L)","FALSE",0
"19","Anthracene sediment  (ug/Kg)","FALSE",21,"Anthracene sediment  (ug/Kg)","FALSE",21,"Anthracene sediment  (ug/Kg)","FALSE",21
"20","Anthracene water  (ug/L)","FALSE",563,"Anthracene water  (ug/L)","FALSE",563,"Anthracene water  (ug/L)","FALSE",634
