"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.median","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS_correlation","PPCC_test","MLE.mean","MLE.mean.SE","MLE.mean.95LCL","MLE.mean.95UCL","MLE.median","MLE.SD"
"1","1-Methylnaphthalene sediment  (ug/Kg)","B",59.6,52,21,31,1.07,870,0.1,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.947598788848054,"reject Ho",5542.77580471526,1367818.46473562,265.851680958195,115562.043883288,3.11475880715254,9863479.22026141
"2","1-Methylnaphthalene water  (ug/L)","C",96.2,290,11,279,0.1,1.6,0.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2-Methylnaphthalene sediment  (ug/Kg)","B",52.6,78,37,41,1.12,1500,0.1,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.956302137948635,"reject Ho",1013.03985576463,14092.5310274789,194.411125030978,5278.76040635069,8.24522246156557,124461.864035999
"4","2-Methylnaphthalene water  (ug/L)","C",82.8,634,109,525,0.003,2.5,0.003,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2-Nitrophenol sediment  (ug/Kg)","C",100,23,0,23,NA,NA,1,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2,4-D sediment  (ug/Kg)","C",91.7,12,1,11,340,340,10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2,4-D water  (ug/L)","C",83.1,604,102,502,0.02,28.4,0.05,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2,4-Dichlorophenol sediment  (ug/Kg)","C",100,24,0,24,NA,NA,1,6400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2,4-Dimethylphenol sediment  (ug/Kg)","C",92.9,42,3,39,6.1,17.4,1,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2,4,5-Trichlorophenol sediment  (ug/Kg)","C",100,24,0,24,NA,NA,1,6400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2,4,6-Trichlorophenol sediment  (ug/Kg)","C",100,23,0,23,NA,NA,1,6400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4-Chloro-3-Methylphenol sediment  (ug/Kg)","C",95.2,21,1,20,83.6,83.6,1,6400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4-Nitrophenol sediment  (ug/Kg)","C",95.2,21,1,20,4.64,4.64,1,6400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Acenaphthene sediment  (ug/Kg)","A",45.6,79,43,36,8.7,8900,0.1,530,921.260337342255,210.077222893351,509.516546499094,1333.00412818542,33.8000000000011,1867.20719972585,8.35780268593211e-06,26.2738059690328,3,0.95426417055529,"reject Ho",NA,NA,NA,NA,NA,NA
"15","Acenaphthene water  (ug/L)","C",90.2,634,62,572,0.003,1.5,0.003,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Acenaphthylene sediment  (ug/Kg)","B",67.1,79,26,53,15.8,3600,0.1,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88437599999357,"reject Ho",1710862.49089576,302493406042.602,17620.3913180546,166117222.36582,1.08868127213987,2688620202862.63
"17","Acenaphthylene water  (ug/L)","C",93.5,634,41,593,0.003,1.5,0.003,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Ammonia water  (ug/L)","A",0,71,71,0,10,1260,NA,NA,178.971830985915,21.2516489769105,137.319364379083,220.624297592747,136,179.069577206418,0.000174450625104461,17.3077376141009,2,0.986135406949403,"do not reject Ho",NA,NA,NA,NA,NA,NA
"19","Anthracene sediment  (ug/Kg)","A",26.6,79,58,21,17,33000,0.1,530,3833.27400543932,810.334124183218,2245.04830659641,5421.49970428224,131,7202.40723872559,1.22203062893345e-05,25.4856610948046,3,0.959082257440633,"reject Ho",NA,NA,NA,NA,NA,NA
"20","Anthracene water  (ug/L)","C",88.8,634,71,563,0.004,5.4,0.004,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Arsenic water dissolved (ug/L)","A",0,16,16,0,0.17,1.04,NA,NA,0.32875,0.0532202577345632,0.224440211592317,0.433059788407683,0.25,0.212881030938253,NA,NA,NA,0.926411300451932,"reject Ho",NA,NA,NA,NA,NA,NA
"22","Benz(a)anthracene sediment  (ug/Kg)","A",11.6,69,61,8,9.4,210000,1,500,21557.2290212918,4818.19223096054,12113.7457780185,31000.7122645652,800,40022.9105618233,0.000108722043451803,20.9326423490399,3,0.967604684748399,"reject Ho",NA,NA,NA,NA,NA,NA
"23","Benz(a)anthracene water  (ug/L)","B",65.6,511,176,335,0.004,11,0.002,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99533192538693,"do not reject Ho",0.267470990419552,0.510794270049016,0.159174944704664,0.449447184346469,0.00619413145034135,11.546662366542
"24","Benzene water  (ug/L)","C",99.2,120,1,119,2.6,2.6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Benzo(a)pyrene sediment  (ug/Kg)","A",17.7,79,65,14,16.2,260000,0.1,500,22986.5200386622,5193.20025041089,12808.0345833525,33165.0054939719,720,46158.173473704,1.30825245782118e-05,25.3441292950587,3,0.965667777424005,"reject Ho",NA,NA,NA,NA,NA,NA
"26","Benzo(a)pyrene water  (ug/L)","B",71.6,631,179,452,0.004,15,0.004,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993745286640268,"do not reject Ho",0.37881396513652,0.922055689304491,0.228448597163514,0.62815014827927,0.00619472531265809,23.1617746303432
"27","Benzo(b)fluoranthene sediment  (ug/Kg)","A",20,45,36,9,1.07,240000,0.1,220,18471.6416282828,6451.19099375919,5827.53962312568,31115.74363344,240,43275.9047936399,0.000409800598479171,18.1489787192562,3,0.95399535836773,"reject Ho",NA,NA,NA,NA,NA,NA
"28","Benzo(b)fluoranthene water  (ug/L)","B",69.6,359,109,250,0.02,13,0.0094,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992751713445621,"do not reject Ho",0.575008834640467,1.22303740283675,0.312777327947859,1.05709439390602,0.0142635757688925,23.173250860784
"29","Benzo(b,k)fluoranthene sediment  (ug/Kg)","A",0,9,9,0,110,2900,NA,NA,1294.44444444444,303.80965857256,698.988455486817,1889.90043340207,1400,911.428975717679,NA,NA,NA,0.939217436964525,"do not reject Ho",NA,NA,NA,NA,NA,NA
