"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.median","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS_correlation","PPCC_test","MLE.mean","MLE.mean.SE","MLE.mean.95LCL","MLE.mean.95UCL","MLE.median","MLE.SD"
"1","1-Methylnaphthalene water  (ug/L)","C",96.1,282,11,271,5.4299332906e-06,0.00473311913984,2.15e-07,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2-Methylnaphthalene water  (ug/L)","C",82.3,616,109,507,7.7562e-07,0.0215357546675,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2,4-D water  (ug/L)","C",82.5,565,99,466,1.70750304e-06,0.31868986947,2.107e-07,0.157678759437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Acenaphthene water  (ug/L)","C",89.9,616,62,554,2.08977984e-06,0.0028956193344,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Acenaphthylene water  (ug/L)","C",93.3,616,41,575,1.1826e-06,0.0027432183168,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Ammonia water  (ug/L)","A",0,71,71,0,0.0027455827696,2.81478053376,NA,NA,0.3514323335459,0.0589096080061155,0.235971623510541,0.466893043581259,0.230641468672,0.496381180138638,1.70659042453281e-11,49.5878707382257,2,0.971065071676825,NA,NA,NA,NA,NA,NA,NA
"7","Anthracene water  (ug/L)","C",88.5,616,71,545,2.2e-08,0.002286015264,2.068e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Arsenic water dissolved (ug/L)","A",0,16,16,0,8.8e-07,0.000292864,NA,NA,3.74674375e-05,1.93004466258704e-05,-3.60742772243631e-07,7.52956177722436e-05,7.66500000000002e-06,7.72017865034817e-05,NA,NA,NA,0.976585432646046,NA,NA,NA,NA,NA,NA,NA
"9","Benz(a)anthracene water  (ug/L)","B",65,503,176,327,5.8e-08,0.00267165609984,3.76e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986161911997746,NA,0.000156280982984638,0.000656290071622012,8.40731667368546e-05,0.000290505836649284,1.65923524094279e-06,0.0147190515669027
"10","Benzene water  (ug/L)","C",98.9,88,1,87,0.0012133182464,0.0012133182464,9.91088e-06,0.00871591104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
