"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.25ile","KM.median","KM.75ile","KM.90ile","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS.mean","ROS.25ile","ROS.median","ROS.75ile","ROS.90ile","ROS.SD","ROS_correlation","PPCC_test","wilcoxon_pvalue"
"1","dry   1-Methylnaphthalene","C",100,60,0,60,NA,NA,2.653567328e-07,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","dry   2-Methylnaphthalene","C",91.2,125,11,114,4.3945408256e-06,0.0013658137263,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","dry   2,4-D","B",69.3,114,35,79,5.6916e-06,0.31868986947,2.1228538624e-07,0.0330101963328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00569360833943632,3.09209366673663e-07,8.65023550662553e-07,3.3201448e-05,0.000370629693441,0.0401356476857183,0.961414261395393,NA,NA
"4","dry   Acenaphthene","C",94.4,125,7,118,3.4775295744e-06,0.00017839584,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","dry   Acenaphthylene","C",95.2,125,6,119,8.1053951682e-06,0.00017839584,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","dry   Ammonia","A",0,18,18,0,0.0027455827696,2.4725663424,NA,NA,0.435468365386205,0.144368257271971,0.15251178062233,0.71842495015008,0.0275860906393595,0.247158091799999,0.546694051679999,1.26308077488,0.612502642230567,0.0018123649449151,12.6262453743239,2,NA,NA,NA,NA,NA,NA,0.976832240492611,NA,NA
"7","dry   Anthracene","C",86.4,125,17,108,2.2e-08,0.00017839584,2.82e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dry   Arsenic dissolved","A",0,2,2,0,9.2e-07,7.665e-06,NA,NA,4.2925e-06,3.3725e-06,-2.31747853786133e-06,1.09024785378613e-05,9.19999999999998e-07,NA,NA,NA,4.76943523910326e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","dry   Benz(a)anthracene","B",67,94,31,63,5.8e-08,0.000455435065092,1.1468e-07,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8116758407838e-05,3.79875307302861e-07,8.44878257086233e-07,4.4435572064e-06,6.71263222840001e-05,8.78218268297095e-05,0.983079162586059,NA,NA
"10","dry   Benzene","C",100,24,0,24,NA,NA,9.91088e-06,0.0023219776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
