"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.25ile","KM.median","KM.75ile","KM.90ile","KM.SD","ROS.mean","ROS.25ile","ROS.median","ROS.75ile","ROS.90ile","ROS.SD","ROS_correlation","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","PPCC_test","wilcoxon_pvalue"
"1","1-Methylnaphthalene sediment  (ug/Kg)","B",59.6,52,21,31,1.07,870,0.1,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.889600435226,2.14232911550358,5.52680214813449,45.55,431,215.138320182142,0.947598788848054,NA,NA,NA,"reject Ho",0.47089384750988
"2","1-Methylnaphthalene water  (ug/L)","C",96.2,290,11,279,0.1,1.6,0.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0862802412990091
"3","2-Methylnaphthalene sediment  (ug/Kg)","B",52.6,78,37,41,1.12,1500,0.1,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.900014942493,4.71923665594441,13.2770622459438,72.25,285,231.441714853803,0.956302137948635,NA,NA,NA,"reject Ho",0.674086853912085
"4","2-Methylnaphthalene water  (ug/L)","C",82.8,634,109,525,0.003,2.5,0.003,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0339399195033589
"5","2-Nitrophenol sediment  (ug/Kg)","C",100,23,0,23,NA,NA,1,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"6","2,4-D sediment  (ug/Kg)","C",91.7,12,1,11,340,340,10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.563702861650773
"7","2,4-D water  (ug/L)","C",83.1,604,102,502,0.02,28.4,0.05,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10131965601849e-05
"8","2,4-Dichlorophenol sediment  (ug/Kg)","C",100,24,0,24,NA,NA,1,6400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"9","2,4-Dimethylphenol sediment  (ug/Kg)","C",92.9,42,3,39,6.1,17.4,1,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256473019418102
"10","2,4,5-Trichlorophenol sediment  (ug/Kg)","C",100,24,0,24,NA,NA,1,6400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
