"","parameter","location","x.NAs","x.count","x.quant.0%","x.quant.25%","x.quant.50%","x.quant.75%","x.quant.100%"
"1","2-Methylnaphthalene","GM34921",0.000000e+00,3.000000e+01,4.448490e-06,2.033604e-05,5.449267e-05,1.488296e-04,2.303774e-03
"2","2,4-D","GM34921",0.000000e+00,3.000000e+01,4.707526e-06,1.811189e-05,2.782708e-05,5.579486e-05,7.017639e-04
"3","Acenaphthene","GM34921",0.000000e+00,3.000000e+01,4.448490e-06,1.804958e-05,5.449267e-05,1.211866e-04,2.303774e-03
"4","Acenaphthylene","GM34921",0.000000e+00,3.000000e+01,2.566437e-06,1.228207e-05,3.468058e-05,1.045403e-04,2.303774e-03
"5","Anthracene","GM34921",0.000000e+00,3.000000e+01,4.106298e-06,1.767414e-05,5.014597e-05,1.211866e-04,2.303774e-03
"6","Benz(a)anthracene","GM34921",0.000000e+00,3.000000e+01,6.169081e-06,2.654942e-05,5.159332e-05,8.041600e-05,4.388141e-04
"7","Benzo(a)pyrene","GM34921",0.000000e+00,3.000000e+01,1.062453e-05,2.663336e-05,6.791702e-05,1.239889e-04,4.607548e-04
"8","Benzo(b)fluoranthene","GM34921",0.000000e+00,3.000000e+01,5.826354e-06,3.587952e-05,5.959499e-05,1.075541e-04,5.594880e-04
"9","Benzo(g,h,i)perylene","GM34921",0.000000e+00,3.000000e+01,6.511808e-06,4.141226e-05,6.285423e-05,9.662359e-05,4.278438e-04
"10","Benzo(k)fluoranthene","GM34921",0.000000e+00,3.000000e+01,8.225441e-06,1.743877e-05,5.089499e-05,1.211866e-04,3.977519e-04
"11","Bis(2-ethylhexyl) phthalate","GM34921",0.000000e+00,3.000000e+01,3.428202e-04,6.028524e-04,1.307459e-03,1.817690e-03,5.568527e-03
"12","Butyl benzyl phthalate","GM34921",0.000000e+00,3.000000e+01,1.222884e-05,4.995413e-05,1.088729e-04,1.755608e-04,2.303774e-03
"13","Cadmium","GM34921",0.000000e+00,3.000000e+01,1.005086e-05,2.928518e-05,6.357583e-05,1.023885e-04,2.713142e-04
"14","Cadmium dissolved","GM34921",0.000000e+00,3.000000e+01,1.444494e-06,4.353419e-06,7.488069e-06,1.124714e-05,2.386512e-05
"15","Chloride","GM34921",0.000000e+00,3.000000e+01,6.882588e-02,1.341558e-01,2.141114e-01,3.406757e-01,8.531962e+00
"16","Chlorpyrifos","GM34921",0.000000e+00,3.000000e+01,2.804892e-06,9.314684e-06,1.396320e-05,2.218904e-05,3.098396e-04
"17","Chrysene","GM34921",0.000000e+00,3.000000e+01,9.596348e-06,3.309007e-05,6.114418e-05,1.211866e-04,5.265769e-04
"18","Copper","GM34921",0.000000e+00,3.000000e+01,1.386863e-03,3.149034e-03,5.545286e-03,8.165276e-03,2.523181e-02
"19","Copper dissolved","GM34921",0.000000e+00,3.000000e+01,3.354195e-04,6.832102e-04,1.094132e-03,1.459021e-03,2.696758e-03
