"","parameter","method","x.NAs","x.count","x.quant.0%","x.quant.25%","x.quant.50%","x.quant.75%","x.quant.100%"
"1","1-Methylnaphthalene","",0.000000e+00,6.000000e+00,1.128056e-06,3.000590e-06,5.954074e-06,6.078987e-06,2.710923e-05
"2","2-Methylnaphthalene","",0.000000e+00,6.000000e+00,1.128056e-06,3.000590e-06,5.954074e-06,6.078987e-06,2.710923e-05
"3","2,4-D","",0.000000e+00,6.000000e+00,1.128056e-05,2.302750e-05,4.230388e-05,5.728177e-05,6.079362e-05
"4","Acenaphthene","",0.000000e+00,6.000000e+00,1.128056e-06,6.078237e-06,9.314620e-06,1.844197e-05,2.710923e-05
"5","Acenaphthylene","",0.000000e+00,6.000000e+00,1.128056e-06,3.000590e-06,5.954074e-06,6.078987e-06,2.710923e-05
"6","Anthracene","",0.000000e+00,6.000000e+00,1.128056e-06,7.598452e-06,2.253672e-05,6.515881e-05,8.162403e-05
"7","Benz(a)anthracene","",0.000000e+00,6.000000e+00,6.079362e-06,4.029994e-05,1.632970e-04,2.358587e-04,4.554351e-04
"8","Benzo(a)pyrene","",0.000000e+00,6.000000e+00,7.295235e-06,4.553176e-05,1.730735e-04,2.868404e-04,5.367628e-04
"9","Benzo(b)fluoranthene","",0.000000e+00,6.000000e+00,7.295235e-06,6.319528e-05,1.693817e-04,2.457770e-04,4.825443e-04
"10","Benzo(g,h,i)perylene","",0.000000e+00,6.000000e+00,6.687298e-06,4.114598e-05,1.288512e-04,2.245166e-04,4.229040e-04
"11","Benzo(k)fluoranthene","",0.000000e+00,6.000000e+00,7.295235e-06,5.078063e-05,1.496286e-04,2.457770e-04,4.825443e-04
"12","Bis(2-ethylhexyl) phthalate","",0.000000e+00,6.000000e+00,4.625031e-05,8.281611e-05,8.919784e-05,1.004720e-04,2.114520e-04
"13","BTEX","",3.200000e+01,1.200000e+02,9.910880e-06,7.422541e-05,2.387531e-04,7.153532e-04,8.715911e-03
"14","Butyl benzyl phthalate","",0.000000e+00,6.000000e+00,1.128056e-05,2.302750e-05,4.230388e-05,5.728177e-05,6.079362e-05
"15","Cadmium","",0.000000e+00,6.000000e+00,3.100475e-06,4.997221e-06,8.296146e-06,1.553735e-05,1.976467e-05
"16","Cadmium dissolved","",0.000000e+00,5.000000e+00,1.522444e-06,1.763015e-06,2.406833e-06,2.741177e-06,1.620820e-05
"17","Calcium","",0.000000e+00,6.000000e+00,4.999378e-02,6.491336e-02,7.403847e-02,8.296664e-02,1.306665e-01
"18","Chloride","",0.000000e+00,6.000000e+00,4.512225e-02,5.302963e-02,5.470751e-02,5.688306e-02,9.759323e-02
"19","Chlorpyrifos","",0.000000e+00,6.000000e+00,4.512225e-06,9.211002e-06,1.692155e-05,2.291271e-05,2.431745e-05
"20","Chrysene","",0.000000e+00,6.000000e+00,6.687298e-06,5.761822e-05,2.041158e-04,3.124736e-04,5.964031e-04
"21","Copper","",0.000000e+00,6.000000e+00,5.015474e-04,9.511671e-04,1.357141e-03,1.677898e-03,2.976593e-03
"22","Copper dissolved","",0.000000e+00,5.000000e+00,1.133604e-04,1.191555e-04,2.938646e-04,4.745854e-04,8.956768e-04
"23","CPAH","",2.300000e+01,6.430000e+02,1.250200e-07,9.665863e-06,5.287481e-05,2.543658e-04,1.226983e-02
"24","Di-N-Octyl Phthalate","",0.000000e+00,6.000000e+00,1.128056e-05,2.302750e-05,4.230388e-05,5.728177e-05,6.079362e-05
"25","Diazinon","",0.000000e+00,6.000000e+00,4.512225e-06,9.211002e-06,1.692155e-05,2.291271e-05,2.431745e-05
"26","Dibenzo(a,h)anthracene","",0.000000e+00,6.000000e+00,6.079362e-06,1.571422e-05,5.473477e-05,9.927081e-05,1.463898e-04
"27","Dibutyl phthalate","",0.000000e+00,6.000000e+00,1.128056e-05,2.302750e-05,4.230388e-05,5.728177e-05,6.079362e-05
"28","Dichlobenil","",0.000000e+00,6.000000e+00,1.692085e-06,4.505975e-06,7.152420e-06,1.515134e-05,1.823809e-05
"29","Diesel Range Organics","",0.000000e+00,5.000000e+00,1.457572e-02,1.702221e-02,1.762580e-02,5.527476e-02,8.674954e-02
"30","Diethyl phthalate","",0.000000e+00,6.000000e+00,1.128056e-05,2.302750e-05,4.230388e-05,5.728177e-05,6.079362e-05
"31","Dimethyl phthalate","",0.000000e+00,6.000000e+00,1.128056e-05,2.302750e-05,4.230388e-05,5.728177e-05,6.079362e-05
"32","Fluoranthene","",0.000000e+00,6.000000e+00,1.215872e-05,9.631239e-05,3.926656e-04,6.447501e-04,1.138588e-03
"33","Fluorene","",0.000000e+00,6.000000e+00,1.579279e-06,6.078237e-06,1.178345e-05,2.673700e-05,3.031750e-05
"34","Gasoline Range Organics","",0.000000e+00,5.000000e+00,2.820141e-03,7.597327e-03,1.355462e-02,1.457572e-02,1.519841e-02
"35","Hardness as CaCO3","",0.000000e+00,6.000000e+00,1.892769e-01,2.039622e-01,2.309842e-01,2.562170e-01,4.391695e-01
"36","HPAH","",2.300000e+01,6.420000e+02,1.250200e-07,1.762487e-05,9.872369e-05,5.033698e-04,3.235672e-02
"37","Indeno(1,2,3-cd)pyrene","",0.000000e+00,6.000000e+00,6.079362e-06,3.717470e-05,1.155474e-04,1.892835e-04,3.957948e-04
"38","Lead","",0.000000e+00,6.000000e+00,1.375948e-04,3.474267e-04,1.113818e-03,2.534067e-03,7.102618e-03
"39","Lead dissolved","",0.000000e+00,5.000000e+00,2.674919e-06,3.600375e-06,7.287859e-06,9.116792e-06,2.278674e-05
"40","LPAH","",2.300000e+01,6.430000e+02,3.760000e-08,8.068589e-06,4.171328e-05,1.926171e-04,1.852075e-02
"41","Magnesium","",0.000000e+00,6.000000e+00,9.024451e-03,1.112228e-02,1.190815e-02,1.492017e-02,2.765141e-02
"42","Malathion","",0.000000e+00,6.000000e+00,4.512225e-06,9.211002e-06,1.692155e-05,2.291271e-05,2.431745e-05
"43","Mecoprop","",0.000000e+00,6.000000e+00,2.820141e-03,5.756876e-03,1.057597e-02,1.432044e-02,1.519841e-02
"44","Mercury","",0.000000e+00,6.000000e+00,3.575939e-07,7.269319e-07,1.125213e-06,1.203419e-06,1.374315e-06
"45","Mercury dissolved","",0.000000e+00,6.000000e+00,2.256113e-07,4.605501e-07,8.460777e-07,1.145635e-06,1.215872e-06
"46","Motor Oil","",0.000000e+00,5.000000e+00,1.792969e-02,2.915144e-02,3.039681e-02,4.286614e-02,4.337477e-02
"47","Naphthalene","",0.000000e+00,6.000000e+00,1.128056e-06,3.988294e-06,6.078612e-06,8.078914e-06,2.710923e-05
"48","Nitrite-Nitrate","",0.000000e+00,6.000000e+00,3.888405e-03,4.550055e-03,4.680022e-03,6.893612e-03,8.569784e-03
"49","Ortho-phosphate dissolved","",0.000000e+00,6.000000e+00,1.645886e-04,3.281381e-04,9.421359e-04,1.535151e-03,1.641023e-03
"50","Pentachlorophenol","",0.000000e+00,6.000000e+00,5.640282e-06,1.500295e-05,2.977037e-05,3.039493e-05,1.355462e-04
"51","Phenanthrene","",0.000000e+00,6.000000e+00,6.687298e-06,2.940475e-05,1.877300e-04,3.220230e-04,5.313409e-04
"52","Prometon","",0.000000e+00,6.000000e+00,1.692085e-06,4.505975e-06,7.152420e-06,1.515134e-05,1.823809e-05
"53","Pyrene","",0.000000e+00,6.000000e+00,1.155079e-05,8.059988e-05,3.393265e-04,5.207055e-04,9.759323e-04
"54","Surfactants","",0.000000e+00,6.000000e+00,5.143393e-04,3.094127e-03,4.285425e-03,9.211856e-03,1.224360e-02
"55","Total Benzofluoranthenes","",2.300000e+01,6.430000e+02,1.250200e-07,7.966126e-06,3.630832e-05,1.843631e-04,6.134914e-03
"56","Total Kjeldahl Nitrogen","",0.000000e+00,6.000000e+00,2.016210e-02,2.834653e-02,3.572895e-02,4.752936e-02,6.668871e-02
"57","Total PAH","",2.300000e+01,6.430000e+02,2.150000e-07,2.288922e-05,1.196597e-04,6.486671e-04,3.928324e-02
"58","Total PCB","",0.000000e+00,2.700000e+01,2.477154e-07,2.827886e-06,9.539930e-06,5.841795e-05,8.340090e-04
"59","Total Phosphorus","",0.000000e+00,6.000000e+00,1.823809e-03,2.801231e-03,4.783483e-03,5.480011e-03,1.138588e-02
"60","Total Phthalate","",2.300000e+01,6.430000e+02,3.542000e-07,7.909283e-05,6.011496e-04,3.389976e-03,2.789327e-01
"61","Total Suspended Solids","",0.000000e+00,6.000000e+00,2.796507e-01,5.103935e-01,9.140804e-01,1.731572e+00,2.738032e+00
"62","Total TPHDx","",1.780000e+02,5.790000e+02,2.150000e-04,3.407361e-02,1.883013e-01,1.184209e+00,6.080703e+01
"63","Triclopyr","",0.000000e+00,6.000000e+00,9.024451e-07,1.842200e-06,3.384311e-06,4.582542e-06,4.863490e-06
"64","Zinc","",0.000000e+00,6.000000e+00,1.428297e-03,1.879314e-03,2.183023e-03,4.238062e-03,6.072468e-03
"65","Zinc dissolved","",0.000000e+00,5.000000e+00,6.655258e-06,7.838531e-04,1.221952e-03,1.614990e-03,1.928976e-03
"66","Benzene","BOTTLEDIP",3.200000e+01,1.200000e+02,9.910880e-06,7.422541e-05,2.387531e-04,7.153532e-04,8.715911e-03
"67","Diesel Fuel","BOTTLEDIP",3.000000e+00,4.200000e+01,1.899151e-03,3.530963e-03,6.435678e-03,1.426920e-02,8.674954e-02
"68","Diesel Range Organics","BOTTLEDIP",3.200000e+01,1.200000e+02,1.982176e-03,3.312372e-02,7.521508e-02,2.645072e-01,1.716406e+00
"69","Ethylbenzene","BOTTLEDIP",3.200000e+01,1.200000e+02,9.910880e-06,7.422541e-05,2.387531e-04,7.149992e-04,8.715911e-03
"70","Gasoline Range Organics","BOTTLEDIP",3.500000e+01,1.490000e+02,9.910880e-04,6.624007e-03,1.422548e-02,5.289791e-02,8.715911e-01
"71","Heavy Fuel Oil","BOTTLEDIP",3.100000e+01,1.190000e+02,3.964352e-03,4.018324e-02,1.411762e-01,5.074717e-01,2.941276e+00
"72","Motor Oil","BOTTLEDIP",3.000000e+00,4.200000e+01,2.948034e-03,5.854106e-03,9.385547e-03,2.587240e-02,7.193940e-02
"73","Toluene","BOTTLEDIP",3.200000e+01,1.200000e+02,9.910880e-06,7.422541e-05,2.387531e-04,7.153532e-04,8.715911e-03
"74","Total Xylenes","BOTTLEDIP",3.200000e+01,1.200000e+02,9.910880e-06,7.422541e-05,2.387531e-04,7.153532e-04,8.715911e-03
"75","2-Methylnaphthalene","COMP-CT-CV",0.000000e+00,3.200000e+01,1.321828e-06,2.726144e-06,5.065592e-06,8.186571e-06,3.125325e-05
"76","2,4-D","COMP-CT-CV",0.000000e+00,2.300000e+01,2.774290e-05,8.497147e-05,5.685730e-04,1.112928e-03,2.076528e-03
"77","Acenaphthene","COMP-CT-CV",0.000000e+00,3.200000e+01,1.852938e-06,3.921105e-06,6.264186e-06,9.457804e-06,2.163687e-05
"78","Acenaphthylene","COMP-CT-CV",0.000000e+00,3.200000e+01,7.930969e-07,2.810214e-06,4.779876e-06,6.715737e-06,1.732705e-05
"79","Anthracene","COMP-CT-CV",0.000000e+00,3.200000e+01,1.393187e-06,3.119723e-06,4.384007e-06,6.402428e-06,1.923277e-05
"80","Benz(a)anthracene","COMP-CT-CV",0.000000e+00,3.200000e+01,6.965933e-07,1.893792e-06,4.509465e-06,6.897563e-06,3.125325e-05
"81","Benzo(a)pyrene","COMP-CT-CV",0.000000e+00,3.200000e+01,1.393187e-06,3.787584e-06,5.663204e-06,6.774086e-06,2.644506e-05
"82","Benzo(b,k)fluoranthene","COMP-CT-CV",0.000000e+00,3.200000e+01,1.044890e-06,5.577660e-06,9.786286e-06,1.494915e-05,7.212289e-05
"83","Benzo(g,h,i)perylene","COMP-CT-CV",0.000000e+00,3.200000e+01,1.321828e-06,2.800553e-06,5.719144e-06,1.098301e-05,5.529422e-05
"84","Bis(2-ethylhexyl) phthalate","COMP-CT-CV",0.000000e+00,3.100000e+01,1.077351e-04,3.871719e-04,6.092360e-04,8.767689e-04,4.340965e-03
"85","Butyl benzyl phthalate","COMP-CT-CV",0.000000e+00,3.200000e+01,5.049384e-05,1.165057e-04,2.103372e-04,3.443244e-04,7.028720e-04
"86","Cadmium","COMP-CT-CV",0.000000e+00,3.300000e+01,4.856846e-05,1.053528e-04,2.219522e-04,3.805778e-04,2.423695e-03
"87","Cadmium dissolved","COMP-CT-CV",0.000000e+00,3.300000e+01,1.356873e-05,4.815731e-05,9.235790e-05,1.585741e-04,1.860513e-03
"88","Chloride","COMP-CT-CV",0.000000e+00,1.800000e+01,4.433430e+00,2.009891e+01,2.777963e+01,7.561752e+01,2.038640e+02
"89","Chlorpyrifos","COMP-CT-CV",0.000000e+00,3.200000e+01,1.586194e-06,4.928123e-06,1.065278e-05,1.696035e-05,4.327373e-05
"90","Chrysene","COMP-CT-CV",0.000000e+00,3.200000e+01,7.941163e-07,1.861178e-06,4.797107e-06,9.933180e-06,6.250650e-05
"91","Copper","COMP-CT-CV",0.000000e+00,3.300000e+01,2.003608e-03,5.056126e-03,1.018071e-02,1.823602e-02,3.310362e-02
"92","Copper dissolved","COMP-CT-CV",0.000000e+00,3.200000e+01,4.197431e-04,1.469982e-03,2.909829e-03,3.919523e-03,9.919038e-03
"93","Di-N-Octyl Phthalate","COMP-CT-CV",0.000000e+00,3.200000e+01,1.900489e-05,4.674642e-05,8.416288e-05,1.756704e-04,7.921528e-04
"94","Diazinon","COMP-CT-CV",0.000000e+00,3.200000e+01,1.321828e-06,4.103812e-06,7.298938e-06,1.394197e-05,5.048602e-05
"95","Dibenzo(a,h)anthracene","COMP-CT-CV",0.000000e+00,3.200000e+01,9.049950e-07,2.150583e-06,3.601031e-06,6.595691e-06,1.682867e-05
"96","Dibutyl phthalate","COMP-CT-CV",0.000000e+00,3.200000e+01,9.019738e-05,1.573294e-04,2.442471e-04,4.025152e-04,8.254220e-04
"97","Dichlobenil","COMP-CT-CV",0.000000e+00,3.100000e+01,4.524975e-06,1.318761e-05,1.880802e-05,2.851219e-05,8.509482e-05
