"","Location_ID","Field_Collection_Start_Date","Field_Collection_End_Date","start","end","new_Result_Value","storm_length","id"
"818","GM34921",2010-03-28,2010-03-30,14696,14698,898.8743408,2,1
"892","GM34921",2010-04-15,2010-04-15,14714,14714,102.3369152,0,2
"935","GM34921",2010-04-26,2010-04-27,14725,14726,429.0589853,1,3
"1000","GM34921",2010-05-17,2010-05-18,14746,14747,120.8589341,1,4
"1074","GM34921",2010-07-01,2010-07-02,14791,14792,111.4775782,1,5
"1129","GM34921",2010-08-31,2010-09-01,14852,14853,249.258632,1,6
"1133","GM34921",2010-09-15,2010-09-16,14867,14868,135.8271946,1,7
"1261","GM34921",2010-10-28,2010-10-29,14910,14911,334.9622589,1,8
"1384","GM34921",2010-11-17,2010-11-18,14930,14931,1458.824902,1,9
"476","GM34921",2011-01-11,2011-01-13,14985,14987,973.0247133,2,10
"623","GM34921",2011-02-12,2011-02-12,15017,15017,311.7566413,0,11
"676","GM34921",2011-02-27,2011-03-02,15032,15035,1889.526262,3,12
"703","GM34921",2011-03-04,2011-03-05,15037,15038,234.3158566,1,13
"785","GM34921",2011-03-23,2011-03-24,15056,15057,114.7821488,1,14
"865","GM34921",2011-04-04,2011-04-05,15068,15069,379.665991,1,15
"881","GM34921",2011-04-13,2011-04-16,15077,15080,1018.218326,3,16
"912","GM34921",2011-04-24,2011-04-25,15088,15089,690.7147123,1,17
"978","GM34921",2011-05-11,2011-05-11,15105,15105,186.3783459,0,18
"990","GM34921",2011-05-15,2011-05-15,15109,15109,346.1898701,0,19
"1194","GM34921",2011-10-10,2011-10-10,15257,15257,142.441999,0,20
"1325","GM34921",2011-11-02,2011-11-03,15280,15281,440.750992,1,21
"1426","GM34921",2011-11-16,2011-11-17,15294,15295,471.554007,1,22
"1397","GM34921",2011-11-21,2011-11-23,15299,15301,2490.465392,2,23
"1423","GM34921",2011-11-27,2011-11-27,15305,15305,349.9984797,0,24
"546","GM34921",2012-01-24,2012-01-24,15363,15363,499.3016394,0,25
"565","GM34921",2012-01-29,2012-01-29,15368,15368,95.75042752,0,26
"641","GM34921",2012-02-20,2012-02-20,15390,15390,78.91325824,0,27
"681","GM34921",2012-02-28,2012-02-28,15398,15398,141.4310893,0,28
"1052","GM34921",2012-06-18,2012-06-18,15509,15509,85.79707232,0,29
"1156","KICCOMS8D_OUT",2009-09-19,2009-09-19,14506,14506,308.3,0,30
"1209","KICCOMS8D_OUT",2009-10-13,2009-10-14,14530,14531,36.7,1,31
"1343","KICCOMS8D_OUT",2009-11-05,2009-11-08,14553,14556,993.4,3,32
"664","KICCOMS8D_OUT",2010-02-24,2010-02-24,14664,14664,36.1,0,33
"734","KICCOMS8D_OUT",2010-03-11,2010-03-12,14679,14680,300.6,1,34
"797","KICCOMS8D_OUT",2010-03-25,2010-03-26,14693,14694,174.7,1,35
"839","KICCOMS8D_OUT",2010-04-02,2010-04-03,14701,14702,368.2,1,36
"946","KICCOMS8D_OUT",2010-04-26,2010-04-27,14725,14726,67.4,1,37
